cell_id,last_cycle,status
SNL_18650_LFP_25C_20-80_0.5/0.5C_a,100,complete
SNL_18650_LFP_25C_20-80_0.5/0.5C_b,100,complete
SNL_18650_LFP_25C_20-80_0.5/0.5C_c,100,complete
SNL_18650_LFP_25C_20-80_0.5/0.5C_d,100,complete
SNL_18650_LFP_25C_20-80_0.5/3C_a,100,complete
SNL_18650_LFP_25C_40-60_0.5/0.5C_a,100,complete
SNL_18650_LFP_25C_40-60_0.5/0.5C_b,100,complete
SNL_18650_LFP_25C_40-60_0.5/3C_a,100,complete
SNL_18650_LFP_25C_40-60_0.5/3C_b,100,complete
SNL_18650_NMC_25C_20-80_0.5/0.5C_a,100,complete
SNL_18650_NMC_25C_20-80_0.5/0.5C_b,100,complete
SNL_18650_NMC_25C_20-80_0.5/0.5C_c,100,complete
SNL_18650_NMC_25C_20-80_0.5/0.5C_d,100,complete
SNL_18650_NMC_25C_20-80_0.5/3C_a,100,complete
SNL_18650_NMC_25C_20-80_0.5/3C_b,0,complete
SNL_18650_NMC_25C_40-60_0.5/0.5C_a,100,complete
SNL_18650_NMC_25C_40-60_0.5/0.5C_b,100,complete
SNL_18650_NMC_25C_40-60_0.5/3C_a,100,complete
SNL_18650_NMC_25C_40-60_0.5/3C_b,100,complete
